mean theta var run relVar rep
199.996799937013 1732.35446396516 223.086023774895 ref1M.fa.IS300.FR.hist.no0 1 0
199.996799927977 621.473501538505 264.357902826831 ref1M.fa.IS300.0.1.dup.FR.hist.no0 1.18500432413274 0.1
199.996799935959 329.894146140036 321.243934668823 ref1M.fa.IS300.0.25.dup.FR.hist.no0 1.44000027089538 0.25
199.996799937647 221.027086974939 380.964302757039 ref1M.fa.IS300.0.4.dup.FR.hist.no0 1.7077013445784 0.4
199.996799902373 177.951525436571 424.769922094277 ref1M.fa.IS300.0.55.dup.FR.hist.no0 1.90406335146701 0.55
199.996799908194 147.834285160908 470.561371110213 ref1M.fa.IS300.0.7.dup.FR.hist.no0 2.10932699031398 0.7
199.996799942759 113.740252280599 551.664034587767 ref1M.fa.IS300.1.dup.FR.hist.no0 2.47287582275626 1
199.9967999198 83.4729509076965 679.178613228289 ref1M.fa.IS300.1.5.dup.FR.hist.no0 3.04446958054895 1.5
199.996799916451 52.5275636730788 961.477386104782 ref1M.fa.IS300.2.5.dup.FR.hist.no0 4.30989521367308 2.5
199.996799905888 30.6476835701543 1505.11076980957 ref1M.fa.IS300.5.dup.FR.hist.no0 6.74677303553674 5
199.998799950691 15.7614845292841 2737.80035711996 ref1M.fa.IS300.10.dup.FR.hist.no0 12.2723974850282 10
200.015601829542 7.90842021455661 5258.7049341941 ref1M.fa.IS300.20.dup.FR.hist.no0 23.5725432064735 20
204.524675855673 3.62161136092991 11754.7267447843 ref1M.fa.IS300.50.dup.FR.hist.no0 52.6914530362753 50
199.996199922401 3547.15751246981 211.272406248957 ref1M.fa.IS500.FR.hist.no0 1 0
199.996399907439 742.408219464624 253.873174069207 ref1M.fa.IS500.0.1.dup.FR.hist.no0 1.2016390525228 0.1
199.996399929913 389.804484154962 302.608251796206 ref1M.fa.IS500.0.25.dup.FR.hist.no0 1.43231317884278 0.25
199.996399910402 276.561889510925 344.624280663804 ref1M.fa.IS500.0.4.dup.FR.hist.no0 1.63118452987992 0.4
199.996599922074 203.396496162485 396.650134938906 ref1M.fa.IS500.0.55.dup.FR.hist.no0 1.87743464459578 0.55
199.996599907868 161.896345323267 447.05986680769 ref1M.fa.IS500.0.7.dup.FR.hist.no0 2.11603528707336 0.7
199.996599908145 113.339624247038 552.906186829277 ref1M.fa.IS500.1.dup.FR.hist.no0 2.6170298177877 1
199.997799928333 90.8174633235295 640.432034847228 ref1M.fa.IS500.1.5.dup.FR.hist.no0 3.03130941810055 1.5
199.997799945357 59.5460415779541 871.732123890611 ref1M.fa.IS500.2.5.dup.FR.hist.no0 4.12610496263005 2.5
199.997799917123 33.2036552077649 1404.65794113964 ref1M.fa.IS500.5.dup.FR.hist.no0 6.64856318001336 5
200.004400297241 11.376307660842 3716.23843077688 ref1M.fa.IS500.10.dup.FR.hist.no0 17.589795547639 10
200.015201745173 9.14146438779174 4576.34696130325 ref1M.fa.IS500.20.dup.FR.hist.no0 21.6608834184935 20
202.508574063335 3.90297533310978 10709.8059738883 ref1M.fa.IS500.50.dup.FR.hist.no0 50.691929741493 50
